Abbey House
Abbey Villa
Aberdeen Lodge
Abingdon House
Aborn Cottages
Abyssinia Cottage
Acacia Cottage
Acre House
Acrise Villa
Ada Terrace
Adelaide Cottages
Adelaide Lodge
Adelaide Place
Adelaide Terrace
Adey's Cottages
Albany Cottage
Albany Terrace
Albany Villa
Albany Villas
Albert Bridge Lodge
Albert Cottage
Albert Cottages
Albert Lodge
Albert Terrace
Albert Villas
Albion Place
Albion Villas
Alexandra House
Alexandra Terrace
Alexandra house
Alfred Place
Alma Cottages
Alma Lodge
Alma Terrace
Alva Villa
Ambleside
Anerley House
Anerley Villas
Ann's Cottages
Ann's Place
April Cottages
Argyll Place
Argyll Villas
Arklow Cottage
Arthur Villas
Ash Villa
Ashcroft
Ashtead House
Augusta House
Augusta Place
Avenue Cottages
Avenue Villas
Avondale Villas
Baldwin's Cottages
Balmoral Villas
Bangor Lodge
Bank House
Baveno Villas
Baylis Place
Beasely's Cottages
Beasley's Cottages
Beaumont Cottages
Beaumont House
Bedford Lodge
Bedford Terrace
Bell Cottages
Belmont Villas
Beltinge Villas
Bexley Villas
Blenheim Villas
Bolton terrace
Bounty Terrace
Bramley Villa
Brendon Villa
Bridlemere
Brook Villa
Brooklyn
Brookside
Broxbourne Villas
Brunswick Buildings
Brunswick House School
Brunswick Place
Brunswick Villas
Bryn Terrace
Bude Terrace
Burghfield
Burnside Villas
Byrn Terrace
Calabria
Caldecott
Cambridge Lodge
Cambridge Villas
Carfax
Carlton Villas
Castle Turncock
Catherine Villas
Cedar Cottage
Chandos Villas
Charles Place
Charles Street Cottages
Church Cottages
Church House
Church Place
Church Terrace
Claremont House
Claremont Villa
Clarence Clump
Clarence Cottage
Clarence Gardens
Clarence Place
Clarence Villas
Clewer House School
Clewer Lodge
Clewer Manor
Clewer St. Stephen's Vicarage
Clifton Villas
Clovelly
Connaught Villas
Consort Villas
Coombecote
Cranbourne Terrace
Crathie Villas
Credon
Crescent Lodge
Crescent Villas
Crown Cottages
Cyprus Villas
Darville's Cottages
Derby Villa
Devereux House
Devereux Terrace
Devon Villa
Donnington Villa
Dorset Villa
Dorset Villas
Double Cottages
Downes Villa
Dyson Cottages
East Lee
Ebenezer Villas
Eddlesborough Villas
Elizabeth Terrace
Ella Villa
Ellesmere
Elm Lodge
Elm Place
Elmfield
Elmsdale
Elsie Villas
Elton Villas
Epworth Villa
Ernest Villas
Essex Lodge
Eton Cottage
Eversleigh
Eyton Villas
Fairfield
Fairlight
Farm Lodge
Farm Yard
Fern Villa
Fernhurst
Fernlea
Fernside
Fleming Villa
Flemish Farm Cottages
Flintband Place
Floradale
Florence Villas
Foxcote
Frances Villas
Freston House
Frogmore Cottage
Frogmore Cottages
Frogmore Garden Lodge
Frogmore House
Frogmore House Lodge
Frogmore Villas
Gardner Cottages
Garfield Place
Garter House
Gate House
Gerald Villas
Glasgow Villa
Glenavon Villas
Glenmore
Glenwood
Gloucester Villa
Gloucester Villas
Gordon House
Gordon Place
Gordon Villas
Goswell Place
Gothic Cottages
Governors House
Grampian Villas
Grange Villa
Grantown Villas
Grassmere
Great Western Place
Greenham Place
Greenland Villas
Grosvenor House
Grove Place
Grove Villas
Guston Villa
Hadleigh House
Hamilton Lodge
Hassendean
Hawthorn Villas
Heathfield
Helena Cottages
Helena House
Helena Villa
Helvetica
Hendon Lodge
Henry III's Tower
Hermitage Cottage
Hermitage Lane
Hermitage The
Herne House
Hetherdene
Hewitt's Cottage
Hillside
Holly Grove
Holmer Villa
Holmesdale
Holmlea
Holmleigh
Holmville
Holt Villa
Holy trinity Parish Schools
Holyrood Villas
Hope Villa
Hundred Steps Lodge
Huntley Lodge
Hurstmonceaux Villas
Ingatestone House
Ingeldene
Ininghoe Villas
Ivy Cottage
Ivy Villa
Jubilee Cottages
Jubilee Place
Kearsney Villa
Keeper's Lodge
Kendal Villas
Kenilworth
Keppel Cottage
King's Cote
King's Terrace
Lambourne Villas
Lamorna Villas
Lancaster Villas
Langholm
Laurels The
Leacroft
Leh House
Lenzie Villa
Leworth Villas
Lime Grove
Lime Villa
Littlecote
Lockerbie
Long Walk Lodge
Lorne Villa
Louise Villa
Lydia Cottages
Lyndhurst Villa
Lynn Cottage
Lynton Villas
Lytton House
Malden House
Maldive Villa
March Cottages
May Cottages
May Villa
Maybank
Maybury Villa
Mayfield
Meadowcroft
Meivod
Melbourne Cottages
Melbourne Place
Melbourne Villas
Melrose
Melrose Avenue
Melrose Cottage
Mersea Villa
Middle Place
Middleton Villas
Midsummer Cottage
Milton Villa
Mina Villa
Mirfield Villas
Morialta
Moss Cottage
Moulsey House
Myra Cottages
Myrtle Cottage
Myrtle Cottages
Myrtle Villa
Myrtle Villas
Nella Villas
Netley House
Netley Villas
New Cottages
Newburgh Villa
Newington Place
Nithsdale Villa
Norman Tower
North Lodge
North Villas
Oak Cottages
Oak Villa
Old Institute House
Old Windsor Lodge
Olive Villas
Orwell Cottage
Osborne Terrace
Osborne Villas
Oxford Terrace
Oxford Villas
Park Corner
Park Lodge
Park Place
Park Row
Park View
Park Villa
Park Villas
Parkside
Parkside Cottages
Payne's Cottages
Pelson Villa
Pembroke Villas
Pine Villas
Pleasant Place
Poplar Villa
Portland Place
Primrose Villas
Prospect Place
Providence Place
Quakers' Cottages
Queen Ann's Mead
Queen Anne Villas
Queen Anne's Gate Infants' School
Queen's Acre
Queen's Terrace
Queen's Villas
Queens Mead
Queensland Villas
Rectory Cottage
Reid's Cottages
Richmond Villas
River Terrace
Rockfield
Rondendale
Rose Cottage
Rose Cottages
Rose Lily Cottages
Rose Mead
Rose Villa
Rose Villas
Rosedale
Rosemount
Rosenau
Rosenau Villas
Rothesay Lodge
Rothesay Villas
Roxbury
Royal Aviary
Royal Free & Industrial Schools
Royal Mews
Russell Court
Sandhurst Villas
Sedgefield Villas
Sefton Lodge
Shaw Farm
Shaw Farm Lodge
Silchester
Sired's Cottages
Somerley Villas
Soudan Terrace
South Western Lodge
Springfield
St Agnes' Cottages
St Ann's Villa
St Dunstan's Villas
St Edwards
St Faith's Villa
St George's Schools
St John's Villas
St Katherine's Cottage
St Katherine's School
St Katherine's Villas
St Leonard's
St Leonard's Cottages
St Leonard's Hill
St Leonard's Hill Lodge
St Leonard's Lodge
St Leonard's Terrace
St Leonard's Villa
St Mark's Villas
St Marks School
St Marks' House
St Mary's Villas
St Stephen's Villas
St. Edmund's
St. Helen's
St. John's Cottage
St. Margaret's
St. Philip's Villas
St. Winifred's
Stag Meadow Cottages
Stanley Villas
Stansfield
Stichel Terrace
Stratheden House
Stratheden Villas
Strathmore
Suffolk Place
Summertown
Sun Passage
Sunnyside
Sussex Place
Sussex Villas
Swan Terrace
Swiss Villa
Temple Villas
Thanet Villas
The Limes
The Nook
The Old House
Thornbury House
Thornhill Villa
Thornton Villas
Tolladay Cottages
Tolladay Place
Tower Cottages
Trebatha
Tregantle
Trinity Rectory
Una Terrace
Vansittart Terrace
Victoria Bridge
Victoria Cottage
Victoria Place
Victoria Villa
Victoria Villas
Vine Cottages
W.M. Villas
Walton Terrace
Wartling Hill Villa
Warwick House
Warwick Terrace
Warwick Villas
Waterloo Square
Wellington Square
Wellington Terrace
Wellington terrace
Wesleyan Chapel
West View
Western Cottage
Weston Villas
William Place
Willow Cottages
Winchester Tower
Windmill Hill Villa
Windsor & Eton Ragged School
Winkfield Cottage
Winkfield Place
Winston Cottage
Winton Villas
Woodbine Cottage
Woodbine Cottages
Woodburgh
Woodslee Villas
Worfield Lodge
Yarmouth Villas
York Cottage
York Place
York Terrace
York Villa
York Villas
York house
